Model,Validation MAE,Validation RMSE,Validation R²
Random Forest,0.2500849151144484,0.43275479987293797,0.47686371654825066
XGBoost,0.26070404342604114,0.4337498053980553,0.47445532317713446
LightGBM,0.26079979545181986,0.4176527444352,0.5127389073992495
Decision Tree,0.29721833402117415,0.5769868157448703,0.07004307079523597
Ridge Regression,0.31179241638847116,0.4914269234151342,0.3253959441736912
Linear Regression,0.3121211329728412,0.49150972602445436,0.3251685912169171
